productCode,productName,productSlug,sku,colour,size,quantity,unitCostZar,lineTransferValueZar,approvedSellingPriceZar,costBasis,sourceFamily,basisNote,provisional,seller,buyer,legalSellerAfterTransfer,brand,category,enabled,availability
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-PEAGR-S,Pearl Gray,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P019,KS Active Cutout Seamless Bra,ks-active-cutout-seamless-bra,KS-ARCH-P019-BLCKB-L,Black,L,1,130.0,130.0,399.0,January 2023 Order.xlsx family: high-support-seamless-cut-out-sports-bra,high-support-seamless-cut-out-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P019,KS Active Cutout Seamless Bra,ks-active-cutout-seamless-bra,KS-ARCH-P019-BLCKB-S,Black,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: high-support-seamless-cut-out-sports-bra,high-support-seamless-cut-out-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P019,KS Active Cutout Seamless Bra,ks-active-cutout-seamless-bra,KS-ARCH-P019-DESGO-L,Desert Gold,L,1,130.0,130.0,399.0,January 2023 Order.xlsx family: high-support-seamless-cut-out-sports-bra,high-support-seamless-cut-out-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P019,KS Active Cutout Seamless Bra,ks-active-cutout-seamless-bra,KS-ARCH-P019-DESGO-M,Desert Gold,M,1,130.0,130.0,399.0,January 2023 Order.xlsx family: high-support-seamless-cut-out-sports-bra,high-support-seamless-cut-out-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P019,KS Active Cutout Seamless Bra,ks-active-cutout-seamless-bra,KS-ARCH-P019-DESGO-S,Desert Gold,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: high-support-seamless-cut-out-sports-bra,high-support-seamless-cut-out-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P019,KS Active Cutout Seamless Bra,ks-active-cutout-seamless-bra,KS-ARCH-P019-STLST-S,Steel,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: high-support-seamless-cut-out-sports-bra,high-support-seamless-cut-out-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-APRCT-L,Apricot,L,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-APRCT-M,Apricot,M,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P020,KS Active Crossback Seamless Bra,ks-active-crossback-seamless-bra,KS-ARCH-P020-APRCT-S,Apricot,S,1,160.0,160.0,399.0,January 2023 Order.xlsx family: mid-support-seamless-crisscross-sports-bra,mid-support-seamless-crisscross-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
