Item Name,SKU,Item Description,Selling Price,Product Type,Item Type,Track Inventory,Status,Unit,Sellable,Purchasable,Sales Account,Purchase Description,Purchase Price,Purchase Account,Inventory Account,Opening Stock,Opening Stock Value,Preferred Vendor,Brand,CF.Product Code,CF.Category,CF.Colour,CF.Size
KS Active Scrunch Seamless Short - Peach Yellow - L,KS-ARCH-P012-PEAYE-L,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Peach Yellow. Size: L. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Peach Yellow,L
KS Active Scrunch Seamless Short - Peach Yellow - M,KS-ARCH-P012-PEAYE-M,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Peach Yellow. Size: M. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Peach Yellow,M
KS Active Scrunch Seamless Short - Peach Yellow - S,KS-ARCH-P012-PEAYE-S,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Peach Yellow. Size: S. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Peach Yellow,S
KS Active Scrunch Seamless Short - Pearl Gray - S,KS-ARCH-P012-PEAGR-S,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Pearl Gray. Size: S. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Pearl Gray,S
KS Active Cutout Seamless Bra - Black - L,KS-ARCH-P019-BLCKB-L,KS Active Archive item sold by KALM Collective. Product code: P019. Colour: Black. Size: L. Route: /product/ks-active-cutout-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P019.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P019,KS Active Archive,Black,L
KS Active Cutout Seamless Bra - Black - S,KS-ARCH-P019-BLCKB-S,KS Active Archive item sold by KALM Collective. Product code: P019. Colour: Black. Size: S. Route: /product/ks-active-cutout-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P019.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P019,KS Active Archive,Black,S
KS Active Cutout Seamless Bra - Desert Gold - L,KS-ARCH-P019-DESGO-L,KS Active Archive item sold by KALM Collective. Product code: P019. Colour: Desert Gold. Size: L. Route: /product/ks-active-cutout-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P019.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P019,KS Active Archive,Desert Gold,L
KS Active Cutout Seamless Bra - Desert Gold - M,KS-ARCH-P019-DESGO-M,KS Active Archive item sold by KALM Collective. Product code: P019. Colour: Desert Gold. Size: M. Route: /product/ks-active-cutout-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P019.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P019,KS Active Archive,Desert Gold,M
KS Active Cutout Seamless Bra - Desert Gold - S,KS-ARCH-P019-DESGO-S,KS Active Archive item sold by KALM Collective. Product code: P019. Colour: Desert Gold. Size: S. Route: /product/ks-active-cutout-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P019.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P019,KS Active Archive,Desert Gold,S
KS Active Cutout Seamless Bra - Steel - S,KS-ARCH-P019-STLST-S,KS Active Archive item sold by KALM Collective. Product code: P019. Colour: Steel. Size: S. Route: /product/ks-active-cutout-seamless-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P019.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P019,KS Active Archive,Steel,S
